id;period;day;month;year;weekday
310;A NOITE;15;7;2016;friday
311;A NOITE;15;8;1986;friday
312;A NOITE;15;8;2003;friday
313;A NOITE;15;8;2008;friday
314;A NOITE;15;8;2014;friday
315;A NOITE;15;9;2017;friday
316;A NOITE;15;11;2013;friday
317;A NOITE;15;12;2017;friday
318;A NOITE;16;1;2015;friday
319;A NOITE;16;2;2001;friday
320;A NOITE;16;2;2018;friday
321;A NOITE;16;3;2012;friday
322;A NOITE;16;3;2018;friday
323;A NOITE;16;4;2010;friday
324;A NOITE;16;5;2014;friday
325;A NOITE;16;6;2017;friday
326;A NOITE;16;7;2010;friday
327;A NOITE;16;8;2013;friday
328;A NOITE;16;9;2011;friday
329;A NOITE;16;9;2016;friday
330;A NOITE;16;10;2015;friday
331;A NOITE;16;11;2001;friday
332;A NOITE;16;11;2012;friday
333;A NOITE;16;11;2018;friday
334;A NOITE;16;12;1994;friday
335;A NOITE;16;12;2011;friday
336;A NOITE;16;12;2016;friday
337;A NOITE;17;1;2014;friday
338;A NOITE;17;2;1995;friday
339;A NOITE;17;2;2012;friday
340;A NOITE;17;2;2017;friday
341;A NOITE;17;3;2017;friday
342;A NOITE;17;4;1981;friday
343;A NOITE;17;4;2015;friday
344;A NOITE;17;5;2002;friday
345;A NOITE;17;5;2013;friday
346;A NOITE;17;5;2019;friday
347;A NOITE;17;6;2011;friday
348;A NOITE;17;6;2016;friday
349;A NOITE;17;7;2015;friday
350;A NOITE;17;8;2001;friday
351;A NOITE;17;8;2012;friday
352;A NOITE;17;8;2018;friday
353;A NOITE;17;9;2004;friday
354;A NOITE;17;9;2010;friday
355;A NOITE;17;10;2014;friday
356;A NOITE;17;11;2017;friday
357;A NOITE;17;12;2010;friday
358;A NOITE;18;1;2013;friday
359;A NOITE;18;1;2019;friday
360;A NOITE;18;2;2011;friday
361;A NOITE;18;3;1994;friday
362;A NOITE;18;3;2011;friday
363;A NOITE;18;3;2016;friday
364;A NOITE;18;4;1986;friday
365;A NOITE;18;4;2014;friday
366;A NOITE;18;5;2001;friday
367;A NOITE;18;5;2012;friday
368;A NOITE;18;5;2018;friday
369;A NOITE;18;7;2014;friday
370;A NOITE;18;8;2017;friday
371;A NOITE;18;9;1998;friday
372;A NOITE;18;9;2009;friday
373;A NOITE;18;9;2015;friday
374;A NOITE;18;10;2013;friday
375;A NOITE;18;11;2011;friday
376;A NOITE;18;11;2016;friday
377;A NOITE;18;12;2015;friday
378;A NOITE;19;1;1996;friday
379;A NOITE;19;1;2018;friday
380;A NOITE;19;2;2010;friday
381;A NOITE;19;2;2016;friday
382;A NOITE;19;3;2010;friday
